"Galaxy","GlobularClusters","BlackHoleMass","Distance","Vdispersion","Eradius","Type"
"MilkyWay",160,6.61,0,105,2300,"Spiral"
"NGC221",0,6.46,2500000,75,400,"Elliptical"
"NGC224",450,8.18,2500000,160,15200,"Spiral"
"NGC253",90,7,11500000,102.6,12400,"Spiral"
"NGC821",320,8.23,76200000,209,18400,"Elliptical"
"NGC1023",490,7.64,37300000,209,7100,"Spiral"
"NGC1316",1000,8.24,68800000,227.7,33200,"Lenticular"
"NGC1332",1000,9.17,74700000,320.9,9000,"Lenticular"
"NGC1399",6000,8.69,67400000,337,31600,"Elliptical"
"NGC2778",50,7.15,74700000,175,5700,"Elliptical"
"NGC3031",300,7.84,11600000,143,11100,"Spiral"
"NGC3115",550,8.96,32600000,230,4900,"Lenticular"
"NGC3377",191,8.25,3.6e+07,145,6000,"Elliptical"
"NGC3379",216,8.04,33300000,206,5800,"Elliptical"
"NGC3384",120,7.04,35200000,143,4600,"Spiral"
"NGC3414",400,8.4,82200000,236.8,8300,"Lenticular"
"NGC3585",300,8.51,69100000,213,13900,"Elliptical"
"NGC3607",600,8.15,65200000,229,13600,"Lenticular"
"NGC3608",450,8.67,7.5e+07,182,12200,"Elliptical"
"NGC3842",12000,9.99,309400000,315,56700,"Elliptical"
"NGC4261",1242,8.71,103100000,315,24200,"Elliptical"
"NGC4291",950,8.98,85300000,242,7100,"Elliptical"
"NGC4350",196,8.74,50500000,180.5,6700,"Lenticular"
"NGC4374",4301,8.96,60300000,296,17800,"Elliptical"
"NGC4459",218,7.84,52200000,167,10100,"Lenticular"
"NGC4472",7000,9.26,55500000,293.8,41200,"Elliptical"
"NGC4473",376,7.95,49700000,190,9800,"Elliptical"
"NGC4486",13000,9.77,55400000,375,23800,"Elliptical"
"NGC4486A",11,7.15,59900000,111,1800,"Elliptical"
"NGC4552",1100,8.68,51800000,252.5,12100,"Elliptical"
"NGC4564",213,7.92,51700000,162,5800,"Elliptical"
"NGC4594",1900,8.72,31900000,240,11100,"Spiral"
"NGC4621",803,8.6,48400000,225.1,14900,"Elliptical"
"NGC4649",4000,9.63,55700000,385,23200,"Elliptical"
"NGC4697",229,8.28,39200000,177,13700,"Elliptical"
"NGC4889",11000,10.32,314900000,400.8,49300,"Elliptical"
"NGC5128",1300,7.71,12400000,150,20000,"Elliptical"
"IC4296",6400,9.13,1.62e+08,322,34900,"Elliptical"
"NGC5813",2900,8.84,1.05e+08,236.5,29100,"Elliptical"
"NGC5846",4670,9.04,81100000,239.3,24600,"Elliptical"
"NGC6086",9200,9.56,447600000,334.4,52900,"Elliptical"
"NGC7332",175,7.11,7.5e+07,124.9,5300,"Lenticular"
"IC1459",2100,9.45,95300000,306.1,16100,"Elliptical"
"NGC7457",160,7,43200000,67,6700,"Lenticular"
"NGC7768",3000,9.11,365400000,312.8,49600,"Elliptical"
